"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"accC","","Biotin carboxylase","14","14","1","1","1620","","","","1367","1367","1367","GPSC15_reference_00412","GPSC17_reference_00444","GPSC22_reference_00401","GPSC25_reference_00541","GPSC26_reference_00408","GPSC32_reference_00486","GPSC34_reference_00452","GPSC37_reference_00423","GPSC3_reference_00416","GPSC4_reference_00383","GPSC5_reference_00475","GPSC8_reference_00480","JYGP01_01360","NC_017592_00437"
"lacC_2","","Tagatose-6-phosphate kinase","14","14","1","1","4292","","","","929","929","929","GPSC15_reference_01064","GPSC17_reference_01117","GPSC22_reference_01084","GPSC25_reference_01222","GPSC26_reference_01027","GPSC32_reference_01213","GPSC34_reference_01102","GPSC37_reference_01086","GPSC3_reference_01160","GPSC4_reference_01011","GPSC5_reference_01136","GPSC8_reference_01184","JYGP01_00719","NC_017592_01107"
"znuB","","High-affinity zinc uptake system membrane protein ZnuB","14","14","1","1","3513","","","","806","806","806","GPSC15_reference_01949","GPSC17_reference_02033","GPSC22_reference_01999","GPSC25_reference_02121","GPSC26_reference_02124","GPSC32_reference_00031","GPSC34_reference_02043","GPSC37_reference_02008","GPSC3_reference_02119","GPSC4_reference_02042","GPSC5_reference_02132","GPSC8_reference_02194","JYGP01_01623","NC_017592_02039"
"clpP","","ATP-dependent Clp protease proteolytic subunit","14","14","1","1","3166","","","","590","590","590","GPSC15_reference_00672","GPSC17_reference_00705","GPSC22_reference_00672","GPSC25_reference_00806","GPSC26_reference_00694","GPSC32_reference_00754","GPSC34_reference_00712","GPSC37_reference_00695","GPSC3_reference_00686","GPSC4_reference_00647","GPSC5_reference_00742","GPSC8_reference_00756","JYGP01_01130","NC_017592_00695"
"hrcA","","Heat-inducible transcription repressor HrcA","14","14","1","1","1337","","","","1034","1034","1034","GPSC15_reference_00474","GPSC17_reference_00510","GPSC22_reference_00473","GPSC25_reference_00606","GPSC26_reference_00474","GPSC32_reference_00554","GPSC34_reference_00515","GPSC37_reference_00493","GPSC3_reference_00486","GPSC4_reference_00510","GPSC5_reference_00541","GPSC8_reference_00546","JYGP01_01819","NC_017592_00502"
"metN","","Methionine import ATP-binding protein MetN","14","14","1","1","3768","","","","1061","1061","1061","GPSC15_reference_00176","GPSC17_reference_00160","GPSC22_reference_00159","GPSC25_reference_00271","GPSC26_reference_00155","GPSC32_reference_00248","GPSC34_reference_00202","GPSC37_reference_00191","GPSC3_reference_00198","GPSC4_reference_00147","GPSC5_reference_00227","GPSC8_reference_00219","JYGP01_01569","NC_017592_00208"
"glnA","","Glutamine synthetase","14","14","1","1","1349","","","","1346","1346","1346","GPSC15_reference_00464","GPSC17_reference_00498","GPSC22_reference_00463","GPSC25_reference_00596","GPSC26_reference_00465","GPSC32_reference_00542","GPSC34_reference_00507","GPSC37_reference_00483","GPSC3_reference_00476","GPSC4_reference_00439","GPSC5_reference_00532","GPSC8_reference_00539","JYGP01_01815","NC_017592_00492"
"pgi","","Glucose-6-phosphate isomerase","14","14","1","1","615","","","","1349","1349","1349","GPSC15_reference_01853","GPSC17_reference_01937","GPSC22_reference_01910","GPSC25_reference_02008","GPSC26_reference_02025","GPSC32_reference_02015","GPSC34_reference_01947","GPSC37_reference_01902","GPSC3_reference_02019","GPSC4_reference_01947","GPSC5_reference_02035","GPSC8_reference_02081","JYGP01_00170","NC_017592_01948"
"rpsP","","30S ribosomal protein S16","14","14","1","1","287","","","","272","272","272","GPSC15_reference_00696","GPSC17_reference_00730","GPSC22_reference_00696","GPSC25_reference_00832","GPSC26_reference_00718","GPSC32_reference_00779","GPSC34_reference_00736","GPSC37_reference_00720","GPSC3_reference_00711","GPSC4_reference_00672","GPSC5_reference_00766","GPSC8_reference_00780","JYGP01_00532","NC_017592_00719"
"tpiA","","Triosephosphate isomerase","14","14","1","1","2905","","","","758","758","758","GPSC15_reference_01379","GPSC17_reference_01457","GPSC22_reference_01423","GPSC25_reference_01551","GPSC26_reference_01530","GPSC32_reference_01565","GPSC34_reference_01480","GPSC37_reference_01415","GPSC3_reference_01523","GPSC4_reference_01454","GPSC5_reference_01535","GPSC8_reference_01539","JYGP01_01275","NC_017592_01438"
"metQ","","D-methionine-binding lipoprotein MetQ","14","14","1","1","3770","","","","854","854","854","GPSC15_reference_00174","GPSC17_reference_00158","GPSC22_reference_00157","GPSC25_reference_00269","GPSC26_reference_00153","GPSC32_reference_00246","GPSC34_reference_00200","GPSC37_reference_00189","GPSC3_reference_00196","GPSC4_reference_00145","GPSC5_reference_00225","GPSC8_reference_00217","JYGP01_01571","NC_017592_00206"
"secG","","putative protein-export membrane protein SecG","14","14","1","1","3914","","","","233","233","233","GPSC15_reference_00901","GPSC17_reference_00919","GPSC22_reference_00887","GPSC25_reference_01025","GPSC26_reference_00907","GPSC32_reference_00970","GPSC34_reference_00924","GPSC37_reference_00915","GPSC3_reference_00959","GPSC4_reference_00863","GPSC5_reference_00952","GPSC8_reference_00971","JYGP01_00667","NC_017592_00913"
"mglA","","Galactose/methyl galactoside import ATP-binding protein MglA","14","14","1","1","214","","","","1535","1535","1535","GPSC15_reference_00779","GPSC17_reference_00790","GPSC22_reference_00758","GPSC25_reference_00895","GPSC26_reference_00782","GPSC32_reference_00839","GPSC34_reference_00797","GPSC37_reference_00788","GPSC3_reference_00773","GPSC4_reference_00739","GPSC5_reference_00831","GPSC8_reference_00842","JYGP01_00597","NC_017592_00781"
"trmD","","tRNA (guanine-N(1)-)-methyltransferase","14","14","1","1","293","","","","719","719","719","GPSC15_reference_00700","GPSC17_reference_00734","GPSC22_reference_00700","GPSC25_reference_00836","GPSC26_reference_00722","GPSC32_reference_00783","GPSC34_reference_00740","GPSC37_reference_00725","GPSC3_reference_00716","GPSC4_reference_00676","GPSC5_reference_00770","GPSC8_reference_00784","JYGP01_00539","NC_017592_00723"
"group_4642","","putative protein","14","14","1","1","229","","","","1667","1667","1667","GPSC15_reference_00425","GPSC17_reference_00459","GPSC22_reference_00417","GPSC25_reference_00557","GPSC26_reference_00425","GPSC32_reference_00500","GPSC34_reference_00466","GPSC37_reference_00440","GPSC3_reference_00431","GPSC4_reference_00398","GPSC5_reference_00488","GPSC8_reference_00495","JYGP01_01469","NC_017592_00453"
"purR","","Pur operon repressor","14","14","1","1","4059","","","","827","827","827","GPSC15_reference_01751","GPSC17_reference_01839","GPSC22_reference_01805","GPSC25_reference_01904","GPSC26_reference_01904","GPSC32_reference_01915","GPSC34_reference_01831","GPSC37_reference_01811","GPSC3_reference_01895","GPSC4_reference_01837","GPSC5_reference_01888","GPSC8_reference_01959","JYGP01_01758","NC_017592_01827"
"group_4644","","hypothetical protein","14","14","1","1","159","","","","230","230","230","GPSC15_reference_00794","GPSC17_reference_00805","GPSC22_reference_00774","GPSC25_reference_00910","GPSC26_reference_00798","GPSC32_reference_00854","GPSC34_reference_00810","GPSC37_reference_00804","GPSC3_reference_00788","GPSC4_reference_00753","GPSC5_reference_00847","GPSC8_reference_00856","JYGP01_00607","NC_017592_00798"
"xerS","","Tyrosine recombinase XerS","14","14","1","1","4326","","","","1070","1070","1070","GPSC15_reference_01037","GPSC17_reference_01089","GPSC22_reference_01056","GPSC25_reference_01193","GPSC26_reference_00949","GPSC32_reference_01183","GPSC34_reference_01075","GPSC37_reference_01058","GPSC3_reference_01004","GPSC4_reference_01287","GPSC5_reference_01108","GPSC8_reference_01155","JYGP01_00749","NC_017592_01080"
"tyrS","","Tyrosine--tRNA ligase","14","14","1","1","580","","","","1256","1256","1256","GPSC15_reference_01879","GPSC17_reference_01964","GPSC22_reference_01936","GPSC25_reference_02035","GPSC26_reference_02053","GPSC32_reference_02041","GPSC34_reference_01973","GPSC37_reference_01929","GPSC3_reference_02047","GPSC4_reference_01974","GPSC5_reference_02061","GPSC8_reference_02108","JYGP01_00150","NC_017592_01975"
"bceA","","Bacitracin export ATP-binding protein BceA","14","14","1","1","1526","","","","758","758","758","GPSC15_reference_00843","GPSC17_reference_00859","GPSC22_reference_00828","GPSC25_reference_00966","GPSC26_reference_00848","GPSC32_reference_00911","GPSC34_reference_00865","GPSC37_reference_00857","GPSC3_reference_00898","GPSC4_reference_00803","GPSC5_reference_00901","GPSC8_reference_00911","JYGP01_00963","NC_017592_00854"
"thrC","","Threonine synthase","14","14","1","1","619","","","","1484","1484","1484","GPSC15_reference_01837","GPSC17_reference_01922","GPSC22_reference_01895","GPSC25_reference_01992","GPSC26_reference_02005","GPSC32_reference_02000","GPSC34_reference_01916","GPSC37_reference_02132","GPSC3_reference_01996","GPSC4_reference_01930","GPSC5_reference_01985","GPSC8_reference_02061","JYGP01_00191","NC_017592_01928"
"rfuC","","putative riboflavin import permease protein RfuC","14","14","1","1","215","","","","1058","1058","1058","GPSC15_reference_00780","GPSC17_reference_00791","GPSC22_reference_00759","GPSC25_reference_00896","GPSC26_reference_00783","GPSC32_reference_00840","GPSC34_reference_00798","GPSC37_reference_00789","GPSC3_reference_00774","GPSC4_reference_00740","GPSC5_reference_00832","GPSC8_reference_00843","JYGP01_00598","NC_017592_00782"
"plsX","","Phosphate acyltransferase","14","14","1","1","1768","","","","992","992","992","GPSC15_reference_00068","GPSC17_reference_00049","GPSC22_reference_00045","GPSC25_reference_00152","GPSC26_reference_00041","GPSC32_reference_00137","GPSC34_reference_00089","GPSC37_reference_00078","GPSC3_reference_00081","GPSC4_reference_00038","GPSC5_reference_00118","GPSC8_reference_00095","JYGP01_00027","NC_017592_00090"
"group_4652","","hypothetical protein","14","14","1","1","2924","","","","374","374","374","GPSC15_reference_01363","GPSC17_reference_01442","GPSC22_reference_01408","GPSC25_reference_01536","GPSC26_reference_01514","GPSC32_reference_01550","GPSC34_reference_01405","GPSC37_reference_01400","GPSC3_reference_01508","GPSC4_reference_01439","GPSC5_reference_01464","GPSC8_reference_01524","JYGP01_01260","NC_017592_01421"
"recF","","DNA replication and repair protein RecF","14","14","1","1","3580","","","","1091","1097","1096","GPSC15_reference_00014","GPSC17_reference_02086","GPSC22_reference_02052","GPSC25_reference_00045","GPSC26_reference_02181","GPSC32_reference_00080","GPSC34_reference_00036","GPSC37_reference_02064","GPSC3_reference_02168","GPSC4_reference_02096","GPSC5_reference_00018","GPSC8_reference_02249","JYGP01_01671","NC_017592_02091"
"nrdE2","","Ribonucleoside-diphosphate reductase subunit alpha 2","14","14","1","1","4305","","","","2159","2159","2159","GPSC15_reference_01056","GPSC17_reference_01108","GPSC22_reference_01075","GPSC25_reference_01212","GPSC26_reference_01017","GPSC32_reference_01203","GPSC34_reference_01094","GPSC37_reference_01078","GPSC3_reference_01151","GPSC4_reference_01003","GPSC5_reference_01127","GPSC8_reference_01176","JYGP01_00728","NC_017592_01098"
"galK_2","","Galactokinase","14","14","1","1","1368","","","","1178","1178","1178","GPSC15_reference_01629","GPSC17_reference_01715","GPSC22_reference_01675","GPSC25_reference_01777","GPSC26_reference_01765","GPSC32_reference_01782","GPSC34_reference_01707","GPSC37_reference_01678","GPSC3_reference_01761","GPSC4_reference_01714","GPSC5_reference_01779","GPSC8_reference_01822","JYGP01_00269","NC_017592_01691"
"pyrDB","","Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit","14","14","1","1","3925","","","","938","938","938","GPSC15_reference_00892","GPSC17_reference_00910","GPSC22_reference_00878","GPSC25_reference_01016","GPSC26_reference_00898","GPSC32_reference_00961","GPSC34_reference_00915","GPSC37_reference_00906","GPSC3_reference_00950","GPSC4_reference_00854","GPSC5_reference_00943","GPSC8_reference_00962","JYGP01_00658","NC_017592_00904"
"yhdG","","putative amino acid permease YhdG","14","14","1","1","4628","","","","1391","1391","1391","GPSC15_reference_00925","GPSC17_reference_00944","GPSC22_reference_00913","GPSC25_reference_01049","GPSC26_reference_00932","GPSC32_reference_00997","GPSC34_reference_00949","GPSC37_reference_00941","GPSC3_reference_00986","GPSC4_reference_00888","GPSC5_reference_00976","GPSC8_reference_00996","JYGP01_00895","NC_017592_00938"
"rclA","","putative pyridine nucleotide-disulfide oxidoreductase RclA","14","14","1","1","2890","","","","1316","1316","1316","GPSC15_reference_01390","GPSC17_reference_01468","GPSC22_reference_01434","GPSC25_reference_01562","GPSC26_reference_01542","GPSC32_reference_01576","GPSC34_reference_01491","GPSC37_reference_01426","GPSC3_reference_01535","GPSC4_reference_01465","GPSC5_reference_01546","GPSC8_reference_01553","JYGP01_00430","NC_017592_01449"
"group_4659","","hypothetical protein","14","14","1","1","4662","","","","974","974","974","GPSC15_reference_00955","GPSC17_reference_00971","GPSC22_reference_00936","GPSC25_reference_01073","GPSC26_reference_00990","GPSC32_reference_01022","GPSC34_reference_00975","GPSC37_reference_00964","GPSC3_reference_01116","GPSC4_reference_00911","GPSC5_reference_01000","GPSC8_reference_01020","JYGP01_00874","NC_017592_00962"
"purF","","Amidophosphoribosyltransferase","14","14","1","1","1759","","","","1442","1442","1442","GPSC15_reference_00076","GPSC17_reference_00057","GPSC22_reference_00058","GPSC25_reference_00165","GPSC26_reference_00049","GPSC32_reference_00146","GPSC34_reference_00104","GPSC37_reference_00087","GPSC3_reference_00088","GPSC4_reference_00053","GPSC5_reference_00126","GPSC8_reference_00110","JYGP01_00042","NC_017592_00096"
"aspS","","Aspartate--tRNA ligase","14","14","1","1","3439","","","","1763","1763","1763","GPSC15_reference_01894","GPSC17_reference_01979","GPSC22_reference_01950","GPSC25_reference_02050","GPSC26_reference_02068","GPSC32_reference_02056","GPSC34_reference_01988","GPSC37_reference_01943","GPSC3_reference_02063","GPSC4_reference_01990","GPSC5_reference_02075","GPSC8_reference_02123","JYGP01_00136","NC_017592_01989"
"ribU","","Riboflavin transporter RibU","14","14","1","1","260","","","","563","563","563","GPSC15_reference_00453","GPSC17_reference_00487","GPSC22_reference_00452","GPSC25_reference_00585","GPSC26_reference_00452","GPSC32_reference_00532","GPSC34_reference_00496","GPSC37_reference_00472","GPSC3_reference_00465","GPSC4_reference_00428","GPSC5_reference_00521","GPSC8_reference_00528","JYGP01_01450","NC_017592_00481"
"malQ","","4-alpha-glucanotransferase","14","14","1","1","571","","","","1517","1517","1517","GPSC15_reference_01886","GPSC17_reference_01971","GPSC22_reference_01943","GPSC25_reference_02042","GPSC26_reference_02060","GPSC32_reference_02048","GPSC34_reference_01980","GPSC37_reference_01936","GPSC3_reference_02055","GPSC4_reference_01982","GPSC5_reference_02068","GPSC8_reference_02115","JYGP01_00143","NC_017592_01982"
"polC","","DNA polymerase III PolC-type","14","14","1","1","4132","","","","4391","4391","4391","GPSC15_reference_00278","GPSC17_reference_00261","GPSC22_reference_00274","GPSC25_reference_00396","GPSC26_reference_00265","GPSC32_reference_00353","GPSC34_reference_00321","GPSC37_reference_00301","GPSC3_reference_00298","GPSC4_reference_00251","GPSC5_reference_00352","GPSC8_reference_00326","JYGP01_01720","NC_017592_00312"
"group_4665","","putative ABC transporter ATP-binding protein","14","14","1","1","2680","","","","701","701","701","GPSC15_reference_01451","GPSC17_reference_01522","GPSC22_reference_01480","GPSC25_reference_01611","GPSC26_reference_01587","GPSC32_reference_01621","GPSC34_reference_01539","GPSC37_reference_01485","GPSC3_reference_01582","GPSC4_reference_01515","GPSC5_reference_01604","GPSC8_reference_01614","JYGP01_00378","NC_017592_01510"
"sdhA","","L-serine dehydratase, alpha chain","14","14","1","1","1677","","","","872","872","872","GPSC15_reference_00122","GPSC17_reference_00105","GPSC22_reference_00108","GPSC25_reference_00212","GPSC26_reference_00095","GPSC32_reference_00193","GPSC34_reference_00152","GPSC37_reference_00136","GPSC3_reference_00137","GPSC4_reference_00108","GPSC5_reference_00175","GPSC8_reference_00161","JYGP01_01596","NC_017592_00146"
